app_id,name,genres,release_date,metacritic,developers,tags
730,Counter-Strike 2,"Action, Free To Play","21 Aug, 2012",,Valve,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP"
570,Dota 2,"Action, Strategy, Free To Play","9 Jul, 2013",90.0,Valve,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP"
271590,Grand Theft Auto V Legacy,"Action, Adventure","13 Apr, 2015",96.0,Rockstar North,"Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Adventure, Singleplayer"
292030,The Witcher 3: Wild Hunt,RPG,"18 May, 2015",93.0,CD PROJEKT RED,"Open World, RPG, Story Rich, Atmospheric, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack"
413150,Stardew Valley,"Indie, RPG, Simulation","26 Feb, 2016",89.0,ConcernedApe,"Farming Sim, Pixel Graphics, Multiplayer, Life Sim, RPG, Relaxing, Simulation, Agriculture, Crafting, Indie"
1091500,Cyberpunk 2077,RPG,"9 Dec, 2020",86.0,CD PROJEKT RED,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Story Rich, Sci-fi, FPS, Futuristic, First-Person"
1245620,ELDEN RING,"Action, RPG","24 Feb, 2022",94.0,"FromSoftware, Inc.","Souls-like, Open World, Dark Fantasy, RPG, Difficult, Action RPG, Multiplayer, Third Person, Fantasy, Singleplayer"
105600,Terraria,"Action, Adventure, Indie, RPG","16 May, 2011",83.0,Re-Logic,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Pixel Graphics, Adventure, Crafting, Building, Exploration"
367520,Hollow Knight,"Action, Adventure, Indie","24 Feb, 2017",87.0,Team Cherry,"Metroidvania, Platformer, Souls-like, Difficult, Great Soundtrack, 2D, Indie, Singleplayer, Exploration, Atmospheric"
620,Portal 2,"Action, Adventure","18 Apr, 2011",95.0,Valve,"Singleplayer, Platformer, Puzzle, First-Person, Dark Humor, Story Rich, Puzzle Platformer, Funny, Female Protagonist, 3D Platformer"
